aX,aY,aZ,gX,gY,gZ
-0.00610000,-0.00550000,0.10180000,0.00077000,-0.00378000,0.00070000
-0.00540000,-0.00580000,0.10140000,-0.00049000,-0.00322000,0.00063000
-0.00540000,-0.00600000,0.10110000,-0.00056000,-0.00273000,0.00084000
-0.00540000,-0.00600000,0.10110000,-0.00056000,-0.00273000,0.00084000
-0.00650000,-0.00520000,0.10080000,0.00028000,-0.00252000,0.00098000
-0.00690000,-0.00550000,0.10060000,0.00112000,-0.00294000,0.00070000
-0.00690000,-0.00550000,0.10060000,0.00112000,-0.00294000,0.00070000
-0.00630000,-0.00530000,0.10120000,0.00112000,-0.00329000,0.00056000
-0.00570000,-0.00460000,0.10100000,0.00056000,-0.00322000,0.00063000
-0.00630000,-0.00470000,0.10010000,0.00028000,-0.00350000,0.00077000
-0.00660000,-0.00530000,0.10040000,0.00014000,-0.00378000,0.00042000
-0.00660000,-0.00530000,0.10040000,0.00014000,-0.00378000,0.00042000
-0.00510000,-0.00590000,0.10050000,-0.00021000,-0.00357000,-0.00014000
-0.00390000,-0.00540000,0.10080000,0.00084000,-0.00266000,0.00007000
-0.00510000,-0.00540000,0.10140000,0.00280000,-0.00245000,0.00084000
-0.00660000,-0.00610000,0.10090000,0.00301000,-0.00301000,0.00133000
-0.00550000,-0.00640000,0.10250000,0.00182000,-0.00273000,0.00126000
-0.00550000,-0.00640000,0.10250000,0.00182000,-0.00273000,0.00126000
-0.00210000,-0.00730000,0.10390000,0.00007000,-0.00245000,0.00126000
0.00010000,-0.00510000,0.09620000,0.00091000,-0.00420000,0.00182000
-0.00090000,-0.00140000,0.10480000,0.00616000,-0.00497000,0.00280000
-0.00300000,-0.00210000,0.08770000,0.00532000,-0.00119000,0.00028000
-0.00290000,-0.01130000,0.07450000,0.01036000,0.00882000,0.00378000
-0.00290000,-0.01130000,0.07450000,0.01036000,0.03633000,0.00980000
-0.03230000,-0.01260000,0.17680000,0.00917000,0.03633000,0.00980000
-0.02350000,0.02000000,0.07560000,-0.04907000,0.05306000,0.00014000
-0.01050000,-0.00660000,0.06070000,-0.02415000,-0.00406000,0.00210000
0.00620000,-0.01540000,0.08570000,0.01008000,-0.04417000,-0.00595000
0.00100000,-0.01130000,0.08800000,0.02030000,0.00119000,-0.00189000
0.00100000,-0.01130000,0.08800000,0.01995000,0.01386000,0.00644000
-0.01920000,0.00160000,0.10730000,0.01995000,0.01386000,0.00644000
-0.02340000,-0.00520000,0.11440000,0.01106000,-0.00357000,0.00175000
-0.01090000,-0.01010000,0.10760000,0.00147000,-0.01848000,-0.00602000
-0.00220000,-0.01170000,0.11370000,-0.00175000,-0.01939000,-0.00567000
-0.00700000,-0.01170000,0.10440000,-0.00329000,-0.01540000,-0.00189000
-0.00990000,-0.00810000,0.10030000,0.00427000,-0.01386000,-0.00063000
