aX,aY,aZ,gX,gY,gZ
0.00200000,0.00190000,0.10080000,0.00196000,-0.00329000,-0.00042000
0.00190000,0.00200000,0.10040000,0.00406000,-0.00273000,-0.00021000
0.00120000,0.00170000,0.10210000,0.00406000,-0.00273000,-0.00021000
0.00110000,0.00240000,0.10120000,0.00483000,-0.00301000,0.00028000
0.00160000,0.00310000,0.10160000,0.00518000,-0.00294000,0.00049000
0.00220000,0.00290000,0.10140000,0.00399000,-0.00252000,0.00042000
0.00240000,0.00270000,0.10100000,0.00077000,-0.00329000,0.00126000
0.00240000,0.00270000,0.10100000,-0.00252000,-0.00462000,0.00189000
0.00230000,0.00250000,0.10130000,-0.00252000,-0.00462000,0.00189000
0.00220000,0.00210000,0.10090000,-0.00294000,-0.00490000,0.00182000
0.00270000,0.00110000,0.10160000,-0.00077000,-0.00399000,0.00133000
0.00340000,0.00110000,0.09910000,0.00126000,-0.00231000,0.00182000
0.00330000,0.00330000,0.09610000,0.00455000,0.00000000,0.00294000
0.00330000,0.00330000,0.09610000,0.00917000,0.00406000,0.00329000
0.00180000,0.00490000,0.10170000,0.00917000,0.00406000,0.00329000
0.00170000,0.00370000,0.10290000,0.00784000,0.00742000,0.00266000
0.00490000,0.00850000,0.09960000,0.00287000,0.00700000,0.00315000
-0.00560000,0.00990000,0.11090000,0.00420000,0.00497000,0.00308000
-0.00720000,-0.01510000,0.12010000,0.00651000,-0.01274000,-0.01673000
0.00430000,-0.00890000,0.07980000,0.00784000,-0.00490000,-0.01141000
0.00430000,-0.00890000,0.07980000,0.00784000,-0.00490000,-0.01141000
0.01030000,0.00840000,0.09000000,0.01771000,0.00763000,0.00420000
-0.00500000,0.00610000,0.12860000,0.01267000,0.00896000,0.01029000
-0.01300000,0.00370000,0.09570000,-0.02086000,-0.00826000,0.01092000
0.00170000,0.00410000,0.09990000,-0.04144000,-0.02933000,0.01211000
0.00170000,0.00410000,0.09990000,-0.04144000,-0.02933000,0.01211000
0.00660000,0.00520000,0.09440000,-0.05068000,-0.03549000,0.01358000
0.00100000,0.00300000,0.09610000,-0.03346000,-0.02233000,0.00854000
-0.00720000,-0.00820000,0.11060000,-0.00329000,-0.00266000,0.00042000
0.00220000,-0.00640000,0.09090000,0.00469000,-0.00602000,-0.00560000
0.00220000,-0.00640000,0.09090000,0.00364000,-0.01204000,0.00238000
0.01570000,0.00380000,0.10110000,0.00364000,-0.01204000,0.00238000
0.00680000,0.00660000,0.09030000,0.00357000,-0.00721000,0.00623000
0.00210000,0.00450000,0.09790000,0.01246000,0.00070000,0.00175000
0.00490000,-0.00250000,0.10850000,0.01645000,0.00518000,-0.00217000
0.00480000,-0.00280000,0.10940000,0.00847000,0.00133000,0.00098000
0.00480000,-0.00280000,0.10940000,-0.00217000,-0.00525000,0.00749000
0.00160000,0.00240000,0.10030000,-0.00217000,-0.00525000,0.00749000
0.00380000,0.00510000,0.09690000,-0.00161000,-0.00588000,0.00567000
0.00400000,0.00320000,0.10230000,0.00392000,0.00203000,0.00238000
0.00050000,0.00070000,0.10660000,0.00084000,0.00224000,0.00070000
0.00190000,-0.00120000,0.10280000,-0.00630000,-0.00364000,-0.00203000
0.00190000,-0.00120000,0.10280000,-0.00595000,-0.00658000,-0.00336000
0.00540000,-0.00220000,0.10120000,-0.00595000,-0.00658000,-0.00336000
0.00510000,-0.00160000,0.10000000,0.00154000,-0.00448000,-0.00133000
0.00350000,0.00230000,0.09880000,0.00973000,-0.00021000,0.00182000
0.00350000,0.00510000,0.10270000,0.01302000,0.00273000,0.00210000
0.00180000,0.00370000,0.10750000,0.00560000,-0.00021000,0.00140000
0.00180000,0.00370000,0.10750000,0.00560000,-0.00021000,0.00042000
0.00090000,0.00210000,0.10190000,-0.00791000,-0.00791000,0.00042000
0.00350000,0.00000000,0.09830000,-0.01386000,-0.01183000,-0.00063000
0.00450000,-0.00090000,0.09700000,-0.00959000,-0.00931000,-0.00028000
0.00350000,-0.00060000,0.09810000,0.00126000,-0.00280000,0.00056000
0.00330000,0.00170000,0.10140000,0.00014000,-0.00280000,0.00049000
0.00250000,0.00080000,0.10120000,0.00056000,-0.00329000,0.00063000
0.00250000,0.00080000,0.10120000,0.00056000,-0.00329000,0.00063000
0.00260000,0.00180000,0.10150000,0.00308000,-0.00266000,0.00084000
0.00360000,0.00130000,0.10150000,0.00266000,-0.00245000,0.00028000
0.00360000,0.00130000,0.10150000,0.00266000,-0.00245000,0.00028000
0.00340000,0.00160000,0.10230000,-0.00049000,-0.00441000,0.00063000
0.00310000,0.00070000,0.10030000,-0.00196000,-0.00497000,0.00014000
0.00310000,0.00070000,0.10030000,0.00028000,-0.00385000,0.00056000
0.00320000,0.00130000,0.10020000,0.00028000,-0.00385000,0.00056000
0.00300000,0.00230000,0.10100000,0.00322000,-0.00189000,0.00112000
0.00230000,0.00260000,0.10180000,0.00329000,-0.00112000,0.00098000
0.00240000,0.00240000,0.10150000,-0.00063000,-0.00357000,0.00070000
0.00240000,0.00240000,0.10150000,-0.00063000,-0.00357000,0.00070000
0.00340000,0.00200000,0.09930000,-0.00350000,-0.00567000,0.00042000
0.00420000,0.00130000,0.09800000,-0.00105000,-0.00441000,0.00014000
0.00450000,0.00120000,0.09750000,0.00511000,-0.00028000,-0.00007000
0.00350000,0.00210000,0.10050000,0.01092000,0.00343000,0.00077000
0.00160000,0.00310000,0.10460000,0.01295000,0.00518000,0.00182000
0.00160000,0.00310000,0.10460000,0.00931000,0.00266000,0.00189000
0.00180000,0.00390000,0.10430000,0.00931000,0.00266000,0.00189000
0.00420000,0.00460000,0.10100000,0.00329000,-0.00112000,0.00182000
0.00590000,0.00610000,0.09620000,0.00014000,0.00098000,0.00266000
0.00820000,0.00880000,0.09360000,0.00490000,0.00966000,0.00140000
-0.00120000,0.00820000,0.10850000,0.01246000,0.00910000,-0.00007000
-0.00120000,0.00820000,0.10850000,0.01974000,-0.00735000,-0.01512000
-0.00950000,-0.01720000,0.12230000,0.01974000,-0.00735000,-0.01512000
0.00200000,-0.00940000,0.08500000,0.02317000,0.00973000,-0.01078000
0.00760000,0.01260000,0.09830000,0.02114000,0.01820000,0.00847000
-0.00420000,0.00820000,0.12220000,-0.00070000,0.00196000,0.00882000
-0.00950000,0.00180000,0.09570000,-0.03605000,-0.01449000,0.00672000
-0.00030000,0.00170000,0.10180000,-0.05299000,-0.03360000,0.01085000
-0.00030000,0.00170000,0.10180000,-0.05299000,-0.03360000,0.01085000
0.00780000,0.00700000,0.08970000,-0.04984000,-0.03325000,0.01036000
0.00210000,-0.00190000,0.10500000,-0.02107000,-0.01463000,0.00392000
-0.00260000,-0.00670000,0.10090000,0.00028000,-0.00308000,-0.00133000
0.00840000,0.00600000,0.09370000,0.00511000,-0.00630000,0.00238000
0.00790000,0.00500000,0.09900000,0.00539000,-0.00630000,0.00350000
0.00790000,0.00500000,0.09900000,0.00364000,-0.00490000,0.00182000
0.00290000,0.00510000,0.09760000,0.00364000,-0.00490000,0.00182000
0.00270000,0.00010000,0.10350000,0.00637000,-0.00238000,-0.00077000
0.00420000,-0.00440000,0.11130000,0.00336000,-0.00455000,-0.00098000
0.00260000,-0.00210000,0.10040000,-0.00602000,-0.00889000,0.00357000
0.00590000,0.00190000,0.09440000,-0.00665000,-0.00833000,0.00378000
0.00620000,0.00220000,0.10080000,0.00070000,-0.00070000,0.00245000
0.00620000,0.00220000,0.10080000,0.00070000,-0.00070000,0.00245000
0.00160000,-0.00100000,0.10390000,0.00336000,0.00357000,0.00028000
0.00020000,-0.00130000,0.10230000,0.00056000,-0.00147000,-0.00049000
0.00390000,-0.00090000,0.10030000,-0.00028000,-0.00455000,-0.00105000
0.00600000,-0.00010000,0.10150000,0.00042000,-0.00420000,0.00021000
0.00600000,-0.00010000,0.10150000,0.00042000,-0.00420000,0.00021000
0.00400000,0.00310000,0.09970000,0.00119000,-0.00378000,0.00252000
0.00310000,0.00230000,0.10220000,0.00385000,-0.00203000,0.00112000
0.00310000,0.00010000,0.10140000,0.00105000,-0.00252000,0.00014000
0.00310000,0.00180000,0.10130000,-0.00490000,-0.00595000,0.00175000
0.00330000,-0.00100000,0.10100000,-0.00637000,-0.00595000,0.00035000
0.00330000,-0.00100000,0.10100000,-0.00637000,-0.00595000,0.00035000
0.00380000,-0.00130000,0.09900000,-0.00448000,-0.00644000,0.00014000
